name,team,bats,throws
endy rodriguez,PIT,S,R
enmanuel de jesus,DET,L,L
enyel de los santos,HOU,R,R
eric cerantola,KC,R,R
eric haase,SF,R,R
eric lauer,TOR,R,L
eric orze,MIN,R,R
eric wagaman,MIN,R,R
eric wagaman,NYM,R,R
erick fedde,CWS,R,R
erik miller,SF,L,L
erik sabrowski,CLE,R,L
ernie clement,TOR,R,R
esmerlyn valdez,PIT,R,R
esteury ruiz,MIA,R,R
ethan roberts,CHC,R,R
eugenio suarez,CIN,R,R
eury perez,MIA,R,R
evan carter,TEX,L,R
evan phillips,LAD,R,R
evan sisk,PIT,L,L
everson pereira,CWS,R,R
ezequiel duran,TEX,R,R
ezequiel tovar,COL,R,R
felix bautista,BAL,R,R
felix reyes,PHI,R,R
fernando cruz,NYY,R,R
fernando tatis jr,SD,R,R
foster griffin,WSH,R,L
framber valdez,DET,R,L
francisco alvarez,NYM,R,R
francisco lindor,NYM,S,R
franco aleman,CLE,R,R
freddie freeman,LAD,L,R
freddy fermin,SD,R,R
freddy peralta,NYM,R,R
gabe speier,SEA,L,L
gabriel arias,CLE,R,R
gabriel gonzalez,MIN,R,R
gabriel hughes,COL,R,R
gabriel moreno,ARI,R,R
gabriel rincones jr,PHI,L,R
garrett acton,MIN,L,R
garrett cleavinger,TB,R,L
garrett crochet,BOS,L,L
garrett hawkins,SD,R,R
garrett mitchell,MIL,L,R
garrett stubbs,PHI,L,R
garrett whitlock,BOS,R,R
gary sanchez,MIL,R,R
gavin collyer,TEX,R,R
gavin hollowell,CHC,R,R
gavin lux,TB,L,R
gavin sheets,SD,L,L
gavin stone,LAD,R,R
gavin williams,CLE,L,R
george kirby,SEA,R,R
george klassen,LAA,R,R
george soriano,STL,R,R
george springer,TOR,R,R
george valera,CLE,L,L
geraldo perdomo,ARI,S,R
german marquez,SD,R,R
gerrit cole,NYY,R,R
giancarlo stanton,NYY,R,R
gleyber torres,DET,R,R
gordon graceffo,STL,R,R
graham ashcraft,CIN,L,R
graham pauley,MIA,L,R
grant anderson,MIL,R,R
grant holman,DET,R,R
grant holman,LAD,R,R
grant holman,PHI,R,R
grant holmes,ATL,L,R
grant mccray,SF,L,R
grant taylor,CWS,R,R
grant wolfram,BAL,L,L
grayson rodriguez,LAA,L,R
greg jones,MIL,S,R
greg weissert,BOS,R,R
gregory santos,SF,R,R
gregory soto,PIT,L,L
griffin canning,SD,R,R
griffin conine,MIA,L,R
griffin jax,TB,R,R
gunnar henderson,BAL,L,R
gunnar hoglund,ATH,L,R
gus varland,WSH,L,R
harrison bader,SF,R,R
harry ford,WSH,R,R
haseong kim,ATL,R,R
hayden birdsong,SF,R,R
hayden harris,ATL,L,L
hayden senger,NYM,R,R
hayden wesneski,HOU,R,R
hector rodriguez,CIN,L,R
heliot ramos,SF,R,R
hendry mendez,MIN,L,L
henry baez,ATH,R,R
henry davis,PIT,R,R
heriberto hernandez,MIA,R,R
heston kjerstad,BAL,L,R
hoby milner,CHC,L,L
hogan harris,ATH,R,L
huascar brazoban,NYM,R,R
hunter barco,PIT,L,L
hunter bigge,TB,R,R
hunter brown,HOU,R,R
hunter dobbins,STL,R,R
hunter feduccia,TB,L,R
hunter gaddis,CLE,R,R
hunter goodman,COL,R,R
hunter greene,CIN,R,R
hunter harvey,CHC,R,R
hunter stratton,ATL,R,R
hurston waldrep,ATL,R,R
